"date","people_vaccinated","population","vaccination_percentage","vaccination_status"
"2020-09-22",NULL,"36910558",NULL,"Low"
"2020-09-23",NULL,"36910558",NULL,"Low"
"2020-09-24",NULL,"36910558",NULL,"Low"
"2020-09-25",NULL,"36910558",NULL,"Low"
"2020-09-26",NULL,"36910558",NULL,"Low"
"2020-09-27",NULL,"36910558",NULL,"Low"
"2020-09-28",NULL,"36910558",NULL,"Low"
"2020-09-29",NULL,"36910558",NULL,"Low"
"2020-09-30",NULL,"36910558",NULL,"Low"
"2020-10-01",NULL,"36910558",NULL,"Low"
"2020-10-02",NULL,"36910558",NULL,"Low"
"2020-10-03",NULL,"36910558",NULL,"Low"
"2020-10-04",NULL,"36910558",NULL,"Low"
"2020-10-05",NULL,"36910558",NULL,"Low"
"2020-10-06",NULL,"36910558",NULL,"Low"
"2020-10-07",NULL,"36910558",NULL,"Low"
"2020-10-08",NULL,"36910558",NULL,"Low"
"2020-10-09",NULL,"36910558",NULL,"Low"
"2020-10-10",NULL,"36910558",NULL,"Low"
"2020-10-11",NULL,"36910558",NULL,"Low"
"2020-10-12",NULL,"36910558",NULL,"Low"
"2020-10-13",NULL,"36910558",NULL,"Low"
"2020-10-14",NULL,"36910558",NULL,"Low"
"2020-10-15",NULL,"36910558",NULL,"Low"
"2020-10-16",NULL,"36910558",NULL,"Low"
"2020-10-17",NULL,"36910558",NULL,"Low"
"2020-10-18",NULL,"36910558",NULL,"Low"
"2020-10-19",NULL,"36910558",NULL,"Low"
"2020-10-20",NULL,"36910558",NULL,"Low"
"2020-10-21",NULL,"36910558",NULL,"Low"
"2020-10-22",NULL,"36910558",NULL,"Low"
"2020-10-23",NULL,"36910558",NULL,"Low"
"2020-10-24",NULL,"36910558",NULL,"Low"
"2020-10-25",NULL,"36910558",NULL,"Low"
"2020-10-26",NULL,"36910558",NULL,"Low"
"2020-10-27",NULL,"36910558",NULL,"Low"
"2020-10-28",NULL,"36910558",NULL,"Low"
"2020-10-29",NULL,"36910558",NULL,"Low"
"2020-10-30",NULL,"36910558",NULL,"Low"
"2020-10-31",NULL,"36910558",NULL,"Low"
"2020-11-01",NULL,"36910558",NULL,"Low"
"2020-11-02",NULL,"36910558",NULL,"Low"
"2020-11-03",NULL,"36910558",NULL,"Low"
"2020-11-04",NULL,"36910558",NULL,"Low"
"2020-11-05",NULL,"36910558",NULL,"Low"
"2020-11-06",NULL,"36910558",NULL,"Low"
"2020-11-07",NULL,"36910558",NULL,"Low"
"2020-11-08",NULL,"36910558",NULL,"Low"
"2020-11-09",NULL,"36910558",NULL,"Low"
"2020-11-10",NULL,"36910558",NULL,"Low"
"2020-11-11",NULL,"36910558",NULL,"Low"
"2020-11-12",NULL,"36910558",NULL,"Low"
"2020-11-13",NULL,"36910558",NULL,"Low"
"2020-11-14",NULL,"36910558",NULL,"Low"
"2020-11-15",NULL,"36910558",NULL,"Low"
"2020-11-16",NULL,"36910558",NULL,"Low"
"2020-11-17",NULL,"36910558",NULL,"Low"
"2020-11-18",NULL,"36910558",NULL,"Low"
"2020-11-19",NULL,"36910558",NULL,"Low"
"2020-11-20",NULL,"36910558",NULL,"Low"
"2020-11-21",NULL,"36910558",NULL,"Low"
"2020-11-22",NULL,"36910558",NULL,"Low"
"2020-11-23",NULL,"36910558",NULL,"Low"
"2020-11-24",NULL,"36910558",NULL,"Low"
"2020-11-25",NULL,"36910558",NULL,"Low"
"2020-11-26",NULL,"36910558",NULL,"Low"
"2020-11-27",NULL,"36910558",NULL,"Low"
"2020-11-28",NULL,"36910558",NULL,"Low"
"2020-11-29",NULL,"36910558",NULL,"Low"
"2020-11-30",NULL,"36910558",NULL,"Low"
"2020-12-01",NULL,"36910558",NULL,"Low"
"2020-12-02",NULL,"36910558",NULL,"Low"
"2020-12-03",NULL,"36910558",NULL,"Low"
"2020-12-04",NULL,"36910558",NULL,"Low"
"2020-12-05",NULL,"36910558",NULL,"Low"
"2020-12-06",NULL,"36910558",NULL,"Low"
"2020-12-07",NULL,"36910558",NULL,"Low"
"2020-12-08",NULL,"36910558",NULL,"Low"
"2020-12-09",NULL,"36910558",NULL,"Low"
"2020-12-10",NULL,"36910558",NULL,"Low"
"2020-12-11",NULL,"36910558",NULL,"Low"
